id,description,code,model_code,confidence
363,تقديمات سراميك بقاعدة,05.4.0,05.4.0,0.95
364,ادوات زجاجية (null),05.4.0,05.4.0,0.95
365,صحن تقديم شفاف A11-2076,05.4.0,05.4.0,1.0
366,RECOVERY ROOM,06.3.1,09.4.6,0.85
367,مناديل غيوم 200 مفرد 10عبوة,05.6.1,05.6.1,1.0
368,منشفة لتجفيف الجبن 3672 100٪ قطن أبيض KITCHEN TOWEL CHEESE 36X72 100%CTN WHTE,05.2.1,05.2.1,1.0
369,غطاء وسادة (null),05.2.1,05.2.1,1.0
370,Policy Type: Motor Plus Insurance (Group),12.1.4,12.1.4,1.0
371,خدمات دعم التأمين الطبي - ( التأمين الطبي - مباشر خان ) Medical Insurance Support Services - ( Medical Insurance - Mubashra Khan ),12.1.2,12.1.2,1.0
372,Insurance 3rd Party (OIC) (auto-included),12.1.4,12.1.9,1.0
373,"Health Insurance policy premium Initial Endorsement No. 1 - Policy No. 25000049 , Cont. No. 38306856",12.1.2,12.1.2,1.0
374,إجمالي التأمين الطبي لعدد 5 عمال,12.1.2,12.1.2,1.0
375,"خاتم Bee de Chaumet ""بي دو شوميه"" 054 2466192954",13.2.1,13.2.1,1.0
376,حلق 12سم رويال 1.6 اسود,13.2.1,02.3.0,1.0
377,اساور ناعم1,13.2.1,05.6.1,0.95
378,بيع 90ك ذهب سويسري بامب عيار24 ب 30،4051 و 1،5 للاونصة,13.2.9,13.2.1,0.95
379,CARTIER S/G MOD 0298,13.2.9,13.2.1,1.0
380,ذهب عيار 21سلسال حلبي وخواتم اساور ثعابين,13.2.1,13.2.1,1.0
381,مكيف دولابي الجي اسلامي 55 وحدة باردفقط سعة تبريد 48000 وحده,05.3.1,05.3.1,0.99
382,"NW182C0 NK0--LG Spilt Air Conditioner 18,000 BTU Cool only, Win, Inverter, Rating (B) ,Auto Cleaning, Low Noise, 4-WAY,",05.3.1,05.3.1,1.0
383,حاسب الكل في واحد 27انش- I7 اتش بي,08.1.3,08.1.3,1.0
384,مكيف كاست ماندو بلس حار بارد AC-CST-NV24-48H,05.3.1,05.3.1,1.0
385,خلاط 130 لتر رام,05.3.1,05.3.1,0.95
386,منقي هواء فيليبس 54 واط سوبرنوفا فضي AC4220/12,05.3.2,05.3.1,1.0
387,مصباح محمول مع زر تشغيل وايقاف,05.3.2,05.3.2,1.0
388,قاطع تي ببرغي 7 سم سرايا اسود,05.5.2,05.5.2,0.98
389,درفة جنب سرايا مع ربل 24م اسود 1.5م 1270,04.3.1,01.1.1,1.0
390,PRED FORTE 5ML EYE DROPS بريد فورت نقط للعين,06.1.1,06.1.1,1.0
391,…CASPAR CERVICAL DISTRACTION,06.1.2,06.1.3,0.95
392,Tobradex Eye Drop 5 ml,06.1.1,06.1.1,1.0
393,"REFRESH PLUS 0.4 ML EYE DROP, 30's",06.1.1,06.1.1,1.0
394,هاي فريش جل 0.3% قطرة للعين 20 جرعة مفردة,06.1.2,06.1.2,0.98
395,LIDOCAINE 2 (20MGML) IVF INJ VIAL (OLD CODE),06.1.1,06.1.1,1.0
396,LIVOSTIN 4ML EYE DROPS ليفوستين قطرة,06.1.1,06.1.1,1.0
397,ادويةHYFRESH 2MG ML EYE DROPS 10ML,06.1.1,06.1.1,1.0
398,"فيجاموكس قطرة للعين 5 ملليMoxifloxacin 0.5% Drops, Ophthalmic 5ml (VIGAMOX)",06.1.1,06.1.1,1.0
399,Optive UD Eye Drops 30x0.4ml أوبتيف قطرات عين,06.1.2,06.1.1,0.99
400,كاتينورم قطرة للعين 30 حبة,06.1.2,06.1.1,1.0
401,Pred-Forte Eye Drop 5 ml,06.1.1,06.1.1,1.0
402,"Adult Wheelchair 20 "" #1603;#1585;#1587;#1610; #1605;#1578;#1581;#1585;#1603; #1605;#1593; #1580;#1604;#1587;#1577;",06.1.3,06.1.3,0.99
403,2108245795 / FARCOLIN 0.5% RESPIRATOR SOLN. 20 ML,06.1.2,06.1.1,0.99
404,BROFIX EYE DROPS OPHT 0.09% SOLUTION 5ML بروفكس قطره 5 ملجم,06.1.2,06.1.1,1.0
405,قطرة عين 0.1 % 10 مللي,06.1.1,06.1.1,1.0
406,جهاز تنفس صناعي تريلوجي ايفو مع منظم اوكسجين,06.1.3,06.1.3,1.0
407,اولوبات قطرة للعين 30 جرعة احادية 0.4 مل,06.1.2,06.1.2,1.0
408,ARTELAC COMPLETE SDU EYE DROPS MINIMS 30S,06.1.2,06.1.1,1.0
409,بيوسوفت بلس قطرة عين 10 ملل,06.1.2,06.1.1,1.0
410,Train: Haramain Train: Madinah-Makkah Start Date: 02-06-2025 End Date: 02-06-2025,07.3.1,07.3.1,1.0
411,إصدار تذكرة دوليةIssuance of Ticket International - 0652899832729A062315594,07.3.3,07.3.3,0.99
412,إصدار تذكرة دوليةIssuance of Ticket International - 0652899816417A062395425,07.3.3,07.3.3,1.0
413,Train Booking - قطار حجز,07.3.1,07.3.1,1.0
414,اكياس دعائية ورقية Lorrein,05.6.1,05.6.1,0.95
415,طقم مكتبية NO4,05.1.1,09.7.4,0.95
416,توريد ملصق اشعار مراجعه بلاستيكى نمؤج 2 مقاس A4,09.7.4,05.6.1,0.95
417,انا اسمع اصدقائى من الحيوانات,0.0.0,09.6.9,0.95
418,Gender laundries,05.6.2,03.1.4,0.99
419,حفلة زواج,11.1.1,11.1.1,0.95
420,مصاريف الحفلات والمناسبات,09.6.9,13.9.0,0.85
421,Tours Sales 2024-03246,09.8.0,09.8.0,0.95
422,حواله-صالون الجمال الخصب للتزيين النسائي 21/3/2025,13.1.3,13.1.3,0.95
423,لعبة فوكه شبكه SLN4523,09.2.1,09.2.1,0.95
424,فلم عاكس خصوصي طويل مقاس 113 ملم,04.3.1,09.1.1,0.95
425,دفعه تعليق كهرباء - سند 15199,04.5.1,04.5.1,1.0
426,دفعه تعليق كهرباء - سند 15426,04.5.1,04.5.1,0.95
427,GARBAGE COLLECTION CHARGES,04.4.2,04.4.2,1.0
428,NON-HAZARDOUS SOLID WASTES DIS,04.4.2,04.4.2,1.0
429,Tours Sales 2024-03091,09.4.6,09.4.6,0.95
430,سداد رسوم دراسية عام حالي (2024 / 2025) - الشبكة السعودية 175,10.5.0,10.5.0,1.0
431,الواحة -الرسوم الدراسية للمرحلة التمهيديه الثانية مع خصم للطفل الرابع,10.1.0,10.1.0,1.0
432,جزمه ولادى2530,03.2.1,03.1.2,0.95
433,"Black boot, size 8",03.2.1,03.2.1,1.0
434,حذاء اطفال بلاستيك الوسام(ق11.5)-AL-9593-2,03.2.1,03.2.1,1.0
435,صندل 10 ريال,03.2.1,03.2.1,1.0
436,صندل رجالي بلاستيك ملون 40-45,03.2.1,03.2.1,1.0
437,ملمع حذاء سيلفر 75مل,13.1.2,05.6.1,0.95
438,تلميع احذية,03.2.2,03.2.2,0.95
439,بطارات رويال AA,05.6.1,05.6.1,0.95
440,رسوم دراسية للصف الحادي عشر الفصل الدراسي الأول,10.2.0,10.2.0,1.0
441,رسوم دراسية DQ للصف الحادي عشر الفصل الدراسي الثالث,10.2.0,10.2.0,1.0
442,رسوم الدراسة للصف الحادي عشر - الفصل الدراسي الأول 2025/2026,10.2.0,10.2.0,1.0
443,Grade 12 - American curriculum,10.2.0,10.2.0,0.95
444,Tuition For Grade 11 Semester 2,10.2.0,10.2.0,1.0
445,برافيا بار 8 11 SPK 360 SSM دوBRAVIA BAR 8 11 SPK 360 SSM Dolby Atmos,08.1.4,09.1.2,0.95
446,شاحن ايفون تايب سي ( ابل الاصلي ),08.1.2,05.3.2,0.95
447,SD-ITEL S25 Ultra-METEOR TITANIUM-2568-25Q1-جوال,08.1.2,08.1.2,1.0
448,TELEFONN@@@ جوال,08.1.2,08.1.2,1.0
449,بيرة موسي فراولة زجاج 330مل,01.2.6,02.1.3,1.0
450,دخان مرلبورو جولد,02.3.0,02.3.0,1.0
451,دخان دنهل وايت.....,02.3.0,02.3.0,1.0
452,PALL MALL ONE *20 LONG,02.3.0,02.3.0,1.0
453,(دخان) بال مال أبيض ريلوك 1مج,02.3.0,02.3.0,1.0
454,سجائر بال مال ريلوك منوع,02.3.0,02.3.0,1.0
455,CIGERATE PALL MALL PRO BLUE 20PC,02.3.0,02.3.0,1.0
